Border,Date,Measure,Value,Average
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,2489564.0
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,9791.0
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,31860.0
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,30038,12803.0
US-Canada Border,05/01/2019 12:00:00 AM,Trains,2090,2440.0
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,162064.0
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,18537.0
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,576724,255176.0
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,435491,134187.0
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,11161555,14044657.0
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4144485,3120322.0
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,12562,9474.0
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,172481,137847.0
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,987,644.0
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,958,1000.0
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52634,12631.0
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44885,12493.0
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,2053135,2489564.0
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,122028,24091.0
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,369321,177702.0
US-Canada Border,04/01/2019 12:00:00 AM,Trucks,480477,419175.0
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,60767,9791.0
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,3760645,6136398.0
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,31204,18537.0
US-Canada Border,04/01/2019 12:00:00 AM,Buses,5050,8399.0
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,120438,162064.0
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,157840,31860.0
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,13103,12803.0
US-Canada Border,04/01/2019 12:00:00 AM,Trains,1968,2440.0
US-Mexico Border,04/01/2019 12:00:00 AM,Bus Passengers,195416,137847.0
US-Mexico Border,04/01/2019 12:00:00 AM,Buses,12822,9474.0
US-Mexico Border,04/01/2019 12:00:00 AM,Pedestrians,4256803,3120322.0
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,10553135,14044657.0
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicles,5686170,5222237.0
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Empty,134214,106850.0
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Full,396298,134187.0
US-Mexico Border,04/01/2019 12:00:00 AM,Trucks,524215,255176.0
US-Mexico Border,04/01/2019 12:00:00 AM,Trains,934,644.0
US-Mexico Border,04/01/2019 12:00:00 AM,Train Passengers,857,1000.0
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Empty,50897,12631.0
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Full,42180,12493.0
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3765337,6136398.0
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,562555,255176.0
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,488046,419175.0
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1993520,2489564.0
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366698,177702.0
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,414473,134187.0
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,13095,9474.0
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,4228773,3120322.0
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,64969,9791.0
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,132252,24091.0
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,18500,18537.0
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,160144,31860.0
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,177326,137847.0
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,89326,162064.0
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,45238,12631.0
US-Canada Border,03/01/2019 12:00:00 AM,Buses,4419,8399.0
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,858,1000.0
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,6377710,5222237.0
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,155368,106850.0
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,44869,12493.0
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,13314,12803.0
US-Canada Border,03/01/2019 12:00:00 AM,Trains,1945,2440.0
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,11867835,14044657.0
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,991,644.0
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,429813,419175.0
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,10295407,14044657.0
US-Canada Border,02/01/2019 12:00:00 AM,Buses,3770,8399.0
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323630,177702.0
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,375688,134187.0
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,9277,12803.0
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75740,162064.0
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115624,24091.0
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,142612,106850.0
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2777212,6136398.0
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,512524,255176.0
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534560,2489564.0
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,44492,9791.0
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123643,31860.0
US-Canada Border,02/01/2019 12:00:00 AM,Trains,1607,2440.0
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,3416106,3120322.0
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,125669,137847.0
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,37029,12493.0
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,12009,18537.0
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,5656319,5222237.0
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,11467,9474.0
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,46374,12631.0
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,931,644.0
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,816,1000.0
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Full,354429,177702.0
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,124042,24091.0
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,2928980,6136398.0
US-Mexico Border,01/01/2019 12:00:00 AM,Buses,13137,9474.0
US-Mexico Border,01/01/2019 12:00:00 AM,Trucks,544903,255176.0
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Empty,50411,12631.0
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Full,32440,12493.0
US-Canada Border,01/01/2019 12:00:00 AM,Train Passengers,12902,12803.0
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Full,155660,31860.0
US-Canada Border,01/01/2019 12:00:00 AM,Pedestrians,14412,18537.0
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,1645776,2489564.0
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicles,6301772,5222237.0
US-Mexico Border,01/01/2019 12:00:00 AM,Bus Passengers,195869,137847.0
US-Canada Border,01/01/2019 12:00:00 AM,Buses,3903,8399.0
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,11860567,14044657.0
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Empty,57862,9791.0
US-Canada Border,01/01/2019 12:00:00 AM,Trains,2033,2440.0
US-Canada Border,01/01/2019 12:00:00 AM,Trucks,467770,419175.0
US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,74112,162064.0
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,3894421,3120322.0
US-Mexico Border,01/01/2019 12:00:00 AM,Trains,994,644.0
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Full,395495,134187.0
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Empty,155782,106850.0
US-Mexico Border,01/01/2019 12:00:00 AM,Train Passengers,847,1000.0
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,24091.0
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2489564.0
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14044657.0
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,8399.0
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,18537.0
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,419175.0
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,9791.0
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,5222237.0
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,134187.0
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,177702.0
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2440.0
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3120322.0
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,12803.0
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,106850.0
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,255176.0
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,137847.0
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,9474.0
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,6136398.0
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,12631.0
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,162064.0
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,31860.0
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,12493.0
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1000.0
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,644.0
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476793,419175.0
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,127697,24091.0
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,11389748,14044657.0
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1933646,2489564.0
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,13325,9474.0
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,11720,12803.0
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3523204,6136398.0
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163324,31860.0
US-Canada Border,11/01/2018 12:00:00 AM,Buses,4777,8399.0
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,105606,162064.0
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,3959951,3120322.0
US-Canada Border,11/01/2018 12:00:00 AM,Trains,1979,2440.0
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358925,177702.0
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,535417,255176.0
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,150973,106850.0
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,6083730,5222237.0
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,150920,137847.0
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,21290,18537.0
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,54868,12631.0
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,970,644.0
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,390148,134187.0
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,1017,1000.0
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,41616,12493.0
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,59112,9791.0
US-Canada Border,10/01/2018 12:00:00 AM,Trains,2059,2440.0
US-Canada Border,10/01/2018 12:00:00 AM,Trucks,527247,419175.0
US-Mexico Border,10/01/2018 12:00:00 AM,Pedestrians,3896888,3120322.0
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Empty,159369,106850.0
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,4042146,6136398.0
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicles,2240151,2489564.0
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Empty,63252,9791.0
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Full,167849,31860.0
US-Canada Border,10/01/2018 12:00:00 AM,Buses,6359,8399.0
US-Mexico Border,10/01/2018 12:00:00 AM,Buses,14214,9474.0
US-Canada Border,10/01/2018 12:00:00 AM,Train Passengers,16617,12803.0
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Full,398340,177702.0
US-Canada Border,10/01/2018 12:00:00 AM,Bus Passengers,158773,162064.0
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,12004167,14044657.0
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Empty,139572,24091.0
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicles,6556519,5222237.0
US-Mexico Border,10/01/2018 12:00:00 AM,Trucks,568252,255176.0
US-Mexico Border,10/01/2018 12:00:00 AM,Train Passengers,943,1000.0
US-Mexico Border,10/01/2018 12:00:00 AM,Bus Passengers,138689,137847.0
US-Canada Border,10/01/2018 12:00:00 AM,Pedestrians,51076,18537.0
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Full,415527,134187.0
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Full,45601,12493.0
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Empty,55089,12631.0
US-Mexico Border,10/01/2018 12:00:00 AM,Trains,999,644.0
US-Canada Border,09/01/2018 12:00:00 AM,Trains,1970,2440.0
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,126940,24091.0
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,4376264,6136398.0
US-Canada Border,09/01/2018 12:00:00 AM,Trucks,477492,419175.0
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,11822961,14044657.0
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2339723,2489564.0
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,29355,12803.0
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,179957,162064.0
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,63582,9791.0
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Full,361864,134187.0
US-Mexico Border,09/01/2018 12:00:00 AM,Trains,933,644.0
US-Mexico Border,09/01/2018 12:00:00 AM,Buses,13468,9474.0
US-Canada Border,09/01/2018 12:00:00 AM,Buses,7896,8399.0
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,360290,177702.0
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Empty,141079,106850.0
US-Mexico Border,09/01/2018 12:00:00 AM,Pedestrians,3524531,3120322.0
US-Mexico Border,09/01/2018 12:00:00 AM,Trucks,494057,255176.0
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Empty,50037,12631.0
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicles,6319271,5222237.0
US-Mexico Border,09/01/2018 12:00:00 AM,Bus Passengers,160813,137847.0
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,54019,18537.0
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,154683,31860.0
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Full,43621,12493.0
US-Mexico Border,09/01/2018 12:00:00 AM,Train Passengers,874,1000.0
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Empty,60159,9791.0
US-Canada Border,08/01/2018 12:00:00 AM,Trucks,508622,419175.0
US-Canada Border,08/01/2018 12:00:00 AM,Train Passengers,55602,12803.0
US-Canada Border,08/01/2018 12:00:00 AM,Bus Passengers,239821,162064.0
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicles,6554844,5222237.0
US-Canada Border,08/01/2018 12:00:00 AM,Trains,2099,2440.0
US-Mexico Border,08/01/2018 12:00:00 AM,Bus Passengers,218838,137847.0
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicles,2999558,2489564.0
US-Mexico Border,08/01/2018 12:00:00 AM,Buses,14961,9474.0
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Empty,141581,24091.0
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,6367333,6136398.0
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Full,401582,134187.0
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Full,377595,177702.0
US-Canada Border,08/01/2018 12:00:00 AM,Buses,9222,8399.0
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,12338175,14044657.0
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Full,148925,31860.0
US-Mexico Border,08/01/2018 12:00:00 AM,Pedestrians,3851303,3120322.0
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Empty,159349,106850.0
US-Mexico Border,08/01/2018 12:00:00 AM,Trucks,552741,255176.0
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Empty,42889,12631.0
US-Mexico Border,08/01/2018 12:00:00 AM,Train Passengers,909,1000.0
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Full,40034,12493.0
US-Canada Border,08/01/2018 12:00:00 AM,Pedestrians,83530,18537.0
US-Mexico Border,08/01/2018 12:00:00 AM,Trains,928,644.0
US-Canada Border,07/01/2018 12:00:00 AM,Pedestrians,80348,18537.0
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicles,2902555,2489564.0
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Full,362798,177702.0
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Full,370512,134187.0
US-Canada Border,07/01/2018 12:00:00 AM,Train Passengers,48139,12803.0
US-Mexico Border,07/01/2018 12:00:00 AM,Bus Passengers,256556,137847.0
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,12700131,14044657.0
US-Canada Border,07/01/2018 12:00:00 AM,Trains,1985,2440.0
US-Canada Border,07/01/2018 12:00:00 AM,Bus Passengers,223674,162064.0
US-Canada Border,07/01/2018 12:00:00 AM,Buses,9385,8399.0
US-Mexico Border,07/01/2018 12:00:00 AM,Trucks,514241,255176.0
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,6118700,6136398.0
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Empty,151194,106850.0
US-Canada Border,07/01/2018 12:00:00 AM,Trucks,482545,419175.0
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Empty,129790,24091.0
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicles,6476572,5222237.0
US-Mexico Border,07/01/2018 12:00:00 AM,Pedestrians,3916503,3120322.0
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Empty,48206,12631.0
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Full,144717,31860.0
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Empty,60140,9791.0
US-Mexico Border,07/01/2018 12:00:00 AM,Buses,15680,9474.0
US-Mexico Border,07/01/2018 12:00:00 AM,Trains,950,644.0
US-Mexico Border,07/01/2018 12:00:00 AM,Train Passengers,875,1000.0
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Full,40489,12493.0
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,364267,177702.0
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,11901838,14044657.0
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,498422,419175.0
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,4905379,6136398.0
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,144777,24091.0
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,14249,9474.0
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,3558082,3120322.0
US-Canada Border,06/01/2018 12:00:00 AM,Buses,9287,8399.0
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2561045,2489564.0
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,147832,31860.0
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,139354,106850.0
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,387382,134187.0
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,64970,9791.0
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,98510,137847.0
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,6365057,5222237.0
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,43571,12803.0
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,211997,162064.0
US-Mexico Border,06/01/2018 12:00:00 AM,Trucks,529177,255176.0
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,62091,18537.0
US-Canada Border,06/01/2018 12:00:00 AM,Trains,1981,2440.0
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,50368,12631.0
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,964,644.0
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,897,1000.0
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,44312,12493.0
US-Canada Border,05/01/2018 12:00:00 AM,Trucks,524191,419175.0
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2378868,2489564.0
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicles,6723434,5222237.0
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Empty,53567,12631.0
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,44519,18537.0
US-Canada Border,05/01/2018 12:00:00 AM,Trains,2094,2440.0
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,152582,31860.0
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Full,408438,134187.0
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,12425460,14044657.0
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,70644,9791.0
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,26599,12803.0
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,142900,24091.0
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,4365709,6136398.0
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,197790,162064.0
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Full,41851,12493.0
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Empty,150480,106850.0
US-Mexico Border,05/01/2018 12:00:00 AM,Bus Passengers,108419,137847.0
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,393302,177702.0
US-Mexico Border,05/01/2018 12:00:00 AM,Buses,13097,9474.0
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8291,8399.0
US-Mexico Border,05/01/2018 12:00:00 AM,Pedestrians,3850841,3120322.0
US-Mexico Border,05/01/2018 12:00:00 AM,Trucks,561452,255176.0
US-Mexico Border,05/01/2018 12:00:00 AM,Trains,948,644.0
US-Mexico Border,05/01/2018 12:00:00 AM,Train Passengers,891,1000.0
US-Canada Border,04/01/2018 12:00:00 AM,Train Passengers,12620,12803.0
US-Canada Border,04/01/2018 12:00:00 AM,Buses,5153,8399.0
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Full,375045,177702.0
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicles,2013265,2489564.0
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Empty,137434,24091.0
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,3672087,6136398.0
